Vietnam,Ea tan Cooperative,Eatan Commune; Krong Nang District; Krong Nang Province,Pulped natural / honey,7.58,7.42,7.58,7.5,7.67,7.75,7.33
Vietnam,Gaia Farms,Lam Dong Province,Pulped natural / honey,7.5,7.5,7.25,7.42,7.42,7.42,7.33
El Salvador,Agua Caliente,Apaneca - Ilamatepec,Washed / Wet,7.67,7.33,7.17,7.67,7.83,7.5,7.33
Thailand,Doi Tung Development Project,North of Thailand,Washed / Wet,7.92,7.92,7.75,7.33,7.58,7.5,7.33
Thailand,Doi Tung Development Project,North of Thailand,Washed / Wet,7.33,7.58,7.58,7.5,7.67,7.67,7.33
Colombia,EL PRADO,HUILA,Washed / Wet,8,7.67,7.42,7.58,7.58,7.42,7.33
Colombia,Escalera,Cauca,Washed / Wet,7.42,7.25,7.25,7.42,7.17,7.33,7.33
Mexico,Finca San Jose,Coatepec; Veracruz,Washed / Wet,7.58,7.42,7.25,7.25,7.5,7.33,7.33
Mexico,Las Trincheras,Veracruz,Washed / Wet,7.67,7.42,7.5,7.5,7.67,7.42,7.33
United States (Hawaii),Manny's Farm,Kona district of Big Island,Washed / Wet,7.75,7.42,7.33,7.5,7.33,7.5,7.33
Thailand,Doi Lan,Chiang Rai,Natural / Dry,7.42,7.25,7.33,7.42,7.33,7.33,7.25
Colombia,Finca Mallorca,Caicedonia;Valle del Cauca,Washed / Wet,7.25,7.25,7.17,7.33,7,7.17,7.25
El Salvador,Rosario de Maria II; Area de Loma Alta,Volcan Chinchontepek; San Vicente; El Salvador,Natural / Dry,7.42,7.33,7.33,7.5,7.08,7,7.17
El Salvador,Agua Caliente,Apaneca - Ilamatepec,Washed / Wet,7.33,7.67,7.25,7.67,7.83,7.42,7.17
Thailand,Doi Tung Development Project,North of Thailand,Washed / Wet,7.33,7.42,7.25,7.33,7.5,7.42,7.17
Thailand,Doi Tung Development Project,North of Thailand,Washed / Wet,7.25,7.25,7.42,7.25,7.42,7.42,7.17
Nicaragua,EXPORTADORA ATLANTIC S.A,,Washed / Wet,7.25,7.25,7.17,7.33,7.08,7.25,7.17
Nicaragua,Sajonia Estate Coffee S.A.,Jinotega,Washed / Wet,7.42,7.17,7,7.08,7.42,7.17,7.17
Brazil,Fazenda Conquista,Sul de Minas,Natural / Dry,7.17,7.17,6.92,7.17,7.42,7.17,7.08
Nicaragua,Finca San Felipe,Matagalpa,Natural / Dry,7.33,7.08,6.75,7.17,7.42,7.17,7.08
El Salvador,Rosario de Maria II; Area de Menjivar,Volcan Chinchontepek; San Vicente; El Salvador,Natural / Dry,7.08,7.25,7.08,7.42,7.42,7.08,7
Peru,Fundo La Libertad,Chanchamayo; Lamerced,Washed / Wet,7.5,7.25,7.17,7.17,7.17,7.08,7
El Salvador,Rosario de Maria II; Area de La Pila,Volcan de San Vicente; La Paz; El Salvador,Natural / Dry,6.5,6.75,6.75,7.17,7.08,7,6.83
Brazil,Walter Matter,Minas Gerais,Semi Washed,7.25,7.08,6.67,6.83,6.83,6.67,6.67
